City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.75,95,95,1.34,EC,1712029059
1,mari-turek,56.7895,49.6235,4.05,99,100,6.04,RU,1712029060
2,pechory,57.8164,27.6119,6.7,95,84,2.01,RU,1712029061
3,dunedin,-45.8742,170.5036,14.54,73,14,5.59,NZ,1712028992
4,port-aux-francais,-49.35,70.2167,7.41,91,99,10.56,TF,1712029028
5,bilibino,68.0546,166.4372,-14.67,69,49,0.57,RU,1712029063
6,isafjordur,66.0755,-23.124,-3.03,68,98,10.25,IS,1712029064
7,grytviken,-54.2811,-36.5092,1.0,82,23,4.75,GS,1712029065
8,iqaluit,63.7506,-68.5145,-0.15,93,100,11.32,CA,1712028784
9,hukumati azrah,34.1736,69.6457,8.44,39,28,0.7,AF,1712029067
10,albany,42.6001,-73.9662,6.56,66,75,1.34,US,1712029069
11,waitangi,-43.9535,-176.5597,12.68,87,94,0.45,NZ,1712029069
12,st. john's,47.5649,-52.7093,0.93,96,100,3.09,CA,1712029070
13,papao,-17.75,-149.55,30.37,77,8,10.15,PF,1712029071
14,margate,51.3813,1.3862,9.61,83,94,4.02,GB,1712029072
15,chonchi,-42.6128,-73.8092,10.62,86,100,1.54,CL,1712029073
16,midvagur,62.0511,-7.1939,4.46,60,75,7.72,FO,1712029074
17,ilebo,-4.3167,20.5833,20.92,94,100,0.67,CD,1712029075
18,suomussalmi,64.8869,28.9078,-10.3,93,87,3.47,FI,1712029076
19,nadym,65.5333,72.5167,-10.85,89,77,2.49,RU,1712028891
20,bredasdorp,-34.5322,20.0403,17.41,81,52,4.79,ZA,1712029078
21,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1712028912
22,blackmans bay,-43.0167,147.3167,14.85,95,100,0.45,AU,1712029080
23,hithadhoo,-0.6,73.0833,29.37,72,100,2.29,MV,1712029081
24,port elizabeth,-33.918,25.5701,18.39,72,75,5.14,ZA,1712029081
25,mount isa,-20.7333,139.5,31.87,43,28,3.6,AU,1712029083
26,yellowknife,62.456,-114.3525,-5.71,68,20,1.03,CA,1712029033
27,adamstown,-25.066,-130.1015,24.77,79,35,11.06,PN,1712029086
28,as samawah,31.332,45.2944,21.59,33,0,4.74,IQ,1712028921
29,enewetak,11.3474,162.3373,27.21,73,96,7.58,MH,1712029087
30,nafada,11.0956,11.3327,29.34,36,90,2.31,NG,1712029088
31,margaret river,-33.95,115.0667,20.92,38,0,3.71,AU,1712029090
32,wailua homesteads,22.0669,-159.378,26.24,82,75,7.72,US,1712029091
33,sydney,-33.8679,151.2073,22.02,83,100,2.68,AU,1712028600
34,hawaiian paradise park,19.5933,-154.9731,23.26,93,100,2.06,US,1712029095
35,pathein,16.7833,94.7333,35.0,34,4,5.52,MM,1712029096
36,luderitz,-26.6481,15.1594,15.82,71,0,6.69,NA,1712029096
37,edinburgh of the seven seas,-37.0676,-12.3116,18.7,95,58,8.12,SH,1712029097
38,tsiombe,-25.3,45.4833,22.56,78,3,7.38,MG,1712029098
39,la ronge,55.1001,-105.2842,2.14,75,0,2.57,CA,1712029100
40,port alfred,-33.5906,26.891,17.73,79,91,5.57,ZA,1712029101
41,andergrove,-21.0833,149.1833,30.36,72,18,4.8,AU,1712029103
42,sotouboua,8.5667,0.9833,29.02,67,100,1.36,TG,1712029104
43,adre,13.4667,22.2,21.21,14,100,4.57,TD,1712029109
44,arraial do cabo,-22.9661,-42.0278,21.98,94,75,0.0,BR,1712029110
45,yancheng,33.3856,120.1253,17.04,88,100,2.64,CN,1712028925
46,arkalyk,50.2486,66.9114,2.96,98,94,3.25,KZ,1712029112
47,papatowai,-46.5619,169.4708,14.6,67,74,3.94,NZ,1712029112
48,plastun,44.7561,136.2939,7.29,38,2,3.73,RU,1712029113
49,olonkinbyen,70.9221,-8.7187,-5.24,60,100,4.62,SJ,1712029114
50,carnarvon,-24.8667,113.6333,34.04,35,5,4.52,AU,1712028891
51,afaahiti,-17.75,-149.2833,29.48,78,42,9.09,PF,1712029115
52,saipan,15.1355,145.701,31.39,1,40,9.77,MP,1712029116
53,manay,7.215,126.5397,30.51,62,65,5.87,PH,1712029117
54,susuman,62.7833,148.1667,-7.79,58,17,1.79,RU,1712029118
55,illizi,26.4833,8.4667,19.89,13,2,2.28,DZ,1712029119
56,port douglas,-16.4833,145.4667,28.16,72,83,5.7,AU,1712029120
57,victoria,22.2855,114.1577,29.42,79,14,7.6,HK,1712029064
58,talcahuano,-36.7167,-73.1167,11.82,82,0,3.09,CL,1712029121
59,praia da vitoria,38.7333,-27.0667,15.98,82,20,8.23,PT,1712029122
60,stanley,54.868,-1.6985,3.73,98,20,0.51,GB,1712029124
61,hermanus,-34.4187,19.2345,14.89,86,96,4.33,ZA,1712029034
62,dubbo,-32.25,148.6167,22.07,83,100,5.14,AU,1712029080
63,kerikeri,-35.2268,173.9474,21.62,64,52,1.79,NZ,1712029126
64,sisimiut,66.9395,-53.6735,-4.65,78,87,3.74,GL,1712029127
65,uturoa,-16.7333,-151.4333,28.16,76,89,8.92,PF,1712029128
66,egilsstadir,65.2653,-14.3948,-4.05,86,75,4.12,IS,1712029129
67,ribeira grande,38.5167,-28.7,16.54,84,17,13.41,PT,1712029130
68,salto del guaira,-24.0625,-54.3069,21.38,97,9,2.57,PY,1712029131
69,longyearbyen,78.2186,15.6401,-20.09,77,0,3.09,SJ,1712029132
70,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,81,0,6.71,RU,1712028901
71,hasaki,35.7333,140.8333,20.16,58,46,5.09,JP,1712029134
72,pacasmayo,-7.4006,-79.5714,22.15,81,18,3.97,PE,1712029136
73,nagqu,31.5,92.0,5.44,12,51,9.64,CN,1712029015
74,puerto baquerizo moreno,-0.9,-89.6,24.27,82,74,2.8,EC,1712029138
75,sodankyla,67.4167,26.6,-18.1,98,29,2.63,FI,1712029139
76,dalandzadgad,43.5708,104.425,8.65,30,100,4.4,MN,1712029140
77,krasnaya yaruga,50.8008,35.6583,10.94,79,63,4.02,RU,1712029141
78,keetmanshoop,-26.5833,18.1333,20.51,56,40,2.06,NA,1712029142
79,northam,51.0333,-4.2167,7.03,96,2,3.18,GB,1712028917
80,gornozavodsk,58.3758,58.3211,0.87,100,97,4.2,RU,1712029143
81,al kharijah,25.4514,30.5464,20.55,37,0,3.73,EG,1712029117
82,atafu village,-8.5421,-172.5159,29.95,71,65,4.77,TK,1712029145
83,ambalangoda,6.2355,80.0538,29.4,71,95,1.32,LK,1712029142
84,tamanrasset,22.785,5.5228,17.95,9,0,2.57,DZ,1712029057
85,ust'-barguzin,53.45,108.9833,-2.73,62,64,3.03,RU,1712029148
86,santa ana de yacuma,-13.75,-65.4333,24.94,90,32,2.56,BO,1712029149
87,lamu,-2.2717,40.902,27.48,82,44,2.81,KE,1712029150
88,ust-nera,64.5667,143.2,-7.96,71,13,1.54,RU,1712029151
89,paphos,34.7667,32.4167,15.88,55,0,3.09,CY,1712029153
90,nadi,-17.8,177.4167,30.0,70,40,4.63,FJ,1712029154
91,pointe aux piments,-20.0628,57.5131,24.31,94,100,9.42,MU,1712029154
92,brookings,44.3114,-96.7984,2.0,93,100,3.09,US,1712029155
93,strezhevoy,60.7333,77.5889,-3.35,93,96,6.26,RU,1712029156
94,iskateley,67.6803,53.1512,-9.43,87,100,4.92,RU,1712029157
95,port mathurin,-19.6833,63.4167,26.11,84,58,5.93,MU,1712029158
96,port-vila,-17.7338,168.3219,29.78,74,75,7.2,VU,1712029159
97,colonia,50.9333,6.95,9.98,88,20,3.09,DE,1712029160
98,geraldton,-28.7667,114.6,34.23,22,18,7.2,AU,1712028663
99,tangalle,6.024,80.7911,30.09,65,72,1.64,LK,1712029161
100,novo aripuana,-5.1206,-60.3797,23.91,99,100,1.01,BR,1712029163
101,vilyuchinsk,52.9306,158.4028,5.15,83,100,3.52,RU,1712029164
102,midoun,33.8081,10.9923,17.92,73,0,9.14,TN,1712029165
103,sovetskiy,61.3614,63.5842,-3.95,94,100,3.13,RU,1712029166
104,nar'yan-mar,67.6713,53.087,-9.38,87,100,4.92,RU,1712029167
105,bethel,41.3712,-73.414,7.86,78,0,0.0,US,1712028860
106,timbuktu,16.7735,-3.0074,30.6,17,4,2.41,ML,1712029169
107,beledweyne,4.7358,45.2036,27.64,73,83,3.38,SO,1712029052
108,takoradi,4.8845,-1.7554,27.14,87,99,0.93,GH,1712029172
109,thompson,55.7435,-97.8558,-0.91,51,40,0.0,CA,1712028963
110,badger,64.8,-147.5333,5.95,38,0,5.14,US,1712029099
111,mollerussa,41.6333,0.9,6.65,86,23,0.45,ES,1712029174
112,west island,-12.1568,96.8225,29.99,66,6,4.63,CC,1712029175
113,muisne,0.6,-80.0333,25.2,91,78,2.17,EC,1712029176
114,san patricio,28.017,-97.5169,24.53,89,92,6.77,US,1712029177
115,cannonvale,-20.2833,148.7,27.66,70,49,6.05,AU,1712029178
116,portland,45.5234,-122.6762,17.32,63,0,0.45,US,1712029179
117,ushuaia,-54.8,-68.3,8.81,61,40,5.14,AR,1712029179
118,iquitos,-3.7481,-73.2472,27.02,89,0,1.03,PE,1712029159
119,tshikapa,-6.4167,20.8,21.9,90,100,1.24,CD,1712029182
120,sirsa,29.5333,75.0167,29.02,14,43,1.46,IN,1712029092
121,salalah,17.0151,54.0924,24.05,57,0,1.54,OM,1712029184
122,walvis bay,-22.9575,14.5053,14.53,94,22,3.09,NA,1712029185
123,gadzhiyevo,69.2551,33.3362,-7.62,70,100,4.36,RU,1712029186
124,cabo san lucas,22.8909,-109.9124,21.45,66,16,2.24,MX,1712028949
125,qamdo,31.1667,97.2333,4.17,36,84,3.53,CN,1712028906
126,sandnessjoen,66.0217,12.6316,-1.94,69,40,6.17,NO,1712029188
127,georgetown,5.4112,100.3354,31.64,74,20,2.57,MY,1712029136
128,manfalut,27.3104,30.97,20.81,41,0,3.57,EG,1712029189
129,puerto carreno,6.189,-67.4859,25.12,85,100,2.61,CO,1712029190
130,magadan,59.5667,150.8,-0.92,63,26,2.98,RU,1712028930
131,nyrob,60.733,56.7202,1.36,98,100,5.93,RU,1712029192
132,courtenay,49.6866,-124.9936,11.96,79,75,1.03,CA,1712029140
133,tiksi,71.6872,128.8694,-9.56,90,100,8.28,RU,1712029194
134,tadmur,34.5608,38.2805,18.52,40,9,1.6,SY,1712029194
135,miraflores de la sierra,40.8155,-3.7621,3.7,88,98,0.9,ES,1712029197
136,klyuchi,52.2667,79.1667,4.76,73,100,4.57,RU,1712029198
137,alice springs,-23.7,133.8833,27.9,38,0,5.66,AU,1712029003
138,vernon,50.2581,-119.2691,16.2,53,100,1.03,CA,1712029144
139,vorgashor,67.5833,63.95,-10.17,84,100,5.42,RU,1712029084
140,bonthe,7.5264,-12.505,25.59,91,43,1.77,SL,1712029201
141,bikenibeu village,1.3673,173.1241,29.98,79,75,4.12,KI,1712029203
142,puerto natales,-51.7236,-72.4875,7.26,90,99,2.67,CL,1712029204
143,luorong,24.4058,109.6086,31.74,53,23,9.48,CN,1712029204
144,sitka,57.0531,-135.33,6.94,81,100,6.17,US,1712029205
145,haffouz,35.6324,9.6762,12.57,68,82,1.89,TN,1712029206
146,igarka,67.4667,86.5833,-9.21,93,100,7.9,RU,1712029207
147,duragan,41.4158,35.0544,16.69,59,11,0.84,TR,1712029208
148,anadyr,64.75,177.4833,-17.72,77,40,4.0,RU,1712029209
149,qaqortoq,60.7167,-46.0333,-8.05,72,94,3.53,GL,1712029210
150,fortaleza,-3.7227,-38.5247,28.07,78,0,1.54,BR,1712029211
151,kenai,60.5544,-151.2583,0.05,98,75,4.63,US,1712029212
152,winslow,35.0242,-110.6974,7.1,65,100,5.14,US,1712029213
153,mana,5.6592,-53.7767,26.43,86,28,3.17,GF,1712029214
154,happy valley-goose bay,53.3168,-60.3315,1.17,100,100,7.2,CA,1712029215
155,maamba,-17.3667,27.15,19.78,67,86,0.92,ZM,1712029215
156,paita,-5.0892,-81.1144,22.48,77,99,4.27,PE,1712029216
157,kodiak,57.79,-152.4072,-2.27,69,100,6.69,US,1712029217
158,udachny,66.4167,112.4,-14.39,75,97,4.85,RU,1712029075
159,kutum,14.2,24.6667,18.02,16,100,1.81,SD,1712029219
160,karratha,-20.7377,116.8463,37.72,24,0,7.96,AU,1712029216
